Attack,n,ASR_mean,TPR_After_mean,PPL_mean,ASI_mean,ASI_std
SIRA,18,0.9176666666666667,0.06666666666666667,8.990616666666666,0.9366764783985205,0.041281458592812306
DIPPER,17,0.8130882352941177,0.14852941176470588,10.289382352941177,0.868180779836007,0.10562869896931676
RW,16,0.7904375,0.1640625,13.7669625,0.8474212059673287,0.08360306818124784
JSV,1,0.5789,0.4,3.8509,0.7105147319843805,
SA,17,0.2658823529411765,0.538235294117647,53.40877254901961,0.4472378177834591,0.3485857030867785
