Attack,n,asr_mean,asr_std,ppl_mean,ppl_std
SIRA,18,0.9176666666666667,0.06347982541953084,8.990616666666666,1.8512958162102693
DIPPER,17,0.8130882352941177,0.17089445895915165,10.289382352941177,1.9389304159237166
RW,16,0.7904375,0.1259675507157829,13.7669625,1.6824031874573544
JSV,1,0.5789,,3.8509,
SA,17,0.2658823529411765,0.5294294127050113,53.40877254901961,17.55744920364599
