Dataset,Model,Attack,Watermark,Count,ASR (Avg),TPR_Before (Avg),TPR_After (Avg),PPL_Attacked (Avg),BERTScore (Avg),BLEU (Avg),Prometheus (Avg)
c4,mistralai/Mistral-7B-Instruct-v0.3,SA,SynthID,3,0.5263333333333333,0.95,0.45,26.270433333333333,0.9385333333333333,55.79226666666666,3.66
c4,Qwen/Qwen2.5-7B-Instruct,SA,Unbiased,3,-0.1217,0.455,0.5466666666666666,75.48206666666667,0.8688,31.2054,2.12
c4,meta-llama/Llama-3.1-8B-Instruct,SA,Unbiased,2,-0.21665,0.45,0.645,63.2938,0.8609,26.2347,1.87
c4,mistralai/Mistral-7B-Instruct-v0.3,SA,Unbiased,3,-0.0209,0.47833333333333333,0.495,67.39336666666667,0.8663333333333334,27.115766666666666,2.39
c4,Qwen/Qwen2.5-7B-Instruct,SA,Unigram,2,-0.2848,0.755,0.97,66.6406,0.86345,29.22415,1.75
c4,meta-llama/Llama-3.1-8B-Instruct,SA,Unigram,2,-0.4085,0.71,1.0,57.915,0.8442,22.0623,
c4,mistralai/Mistral-7B-Instruct-v0.3,SA,Unigram,2,-0.164,0.855,0.995,62.776250000000005,0.8693,28.70355,2.55
c4,Qwen/Qwen2.5-7B-Instruct,SIRA,DIP,1,0.9651,0.86,0.03,10.6934,0.9044,29.3123,3.91
c4,meta-llama/Llama-3.1-8B-Instruct,SIRA,DIP,1,0.9365,0.63,0.04,7.4797,0.9099,33.3763,2.98
c4,mistralai/Mistral-7B-Instruct-v0.3,SIRA,DIP,1,0.9762,0.84,0.02,8.2459,0.9157,27.4252,3.82
c4,Qwen/Qwen2.5-7B-Instruct,SIRA,KGW,1,0.91,1.0,0.09,11.0697,0.9011,28.7709,3.86
c4,meta-llama/Llama-3.1-8B-Instruct,SIRA,KGW,1,0.7789,0.95,0.21,7.3247,0.9105,34.4693,2.96
c4,mistralai/Mistral-7B-Instruct-v0.3,SIRA,KGW,1,0.949,0.98,0.05,7.7334,0.9109,26.3437,3.79
c4,Qwen/Qwen2.5-7B-Instruct,SIRA,SIR,1,0.9508,0.61,0.03,10.0194,0.9019,26.8582,3.63
c4,meta-llama/Llama-3.1-8B-Instruct,SIRA,SIR,1,0.8269,0.52,0.09,7.0778,0.9136,36.7443,3.07
c4,mistralai/Mistral-7B-Instruct-v0.3,SIRA,SIR,1,0.875,0.88,0.11,8.465,0.9098,25.9538,3.9
c4,Qwen/Qwen2.5-7B-Instruct,SIRA,SynthID,1,0.9681,0.94,0.03,11.862,0.9063,28.579,4.15
c4,meta-llama/Llama-3.1-8B-Instruct,SIRA,SynthID,1,0.8061,0.98,0.19,7.9794,0.9077,33.8812,2.99
c4,mistralai/Mistral-7B-Instruct-v0.3,SIRA,SynthID,1,0.9278,0.97,0.07,8.0614,0.9145,27.4461,3.84
c4,Qwen/Qwen2.5-7B-Instruct,SIRA,Unbiased,1,0.9895,0.475,0.005,9.6134,0.9106,29.6667,3.85
c4,meta-llama/Llama-3.1-8B-Instruct,SIRA,Unbiased,1,0.9405,0.42,0.025,8.3359,0.9115,34.8112,2.94
c4,mistralai/Mistral-7B-Instruct-v0.3,SIRA,Unbiased,1,0.9796,0.49,0.01,7.8736,0.9125,27.0813,3.87
c4,Qwen/Qwen2.5-7B-Instruct,SIRA,Unigram,1,0.963,0.81,0.03,13.9119,0.906,29.7359,3.94
c4,meta-llama/Llama-3.1-8B-Instruct,SIRA,Unigram,1,0.9231,0.65,0.05,7.4756,0.9068,33.2353,3.03
c4,mistralai/Mistral-7B-Instruct-v0.3,SIRA,Unigram,1,0.8519,0.81,0.12,8.6089,0.9147,26.6684,3.86
